127.0.0.1 - - [18/May/2022:15:16:19 +0900] "GET / HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:25 +0900] "GET / HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:25 +0900] "GET /EgovBottom.do HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:25 +0900] "GET /EgovTop.do HTTP/1.1" 200 4646
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:25 +0900] "GET /css/egovframework/com/cmm/main.css HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:25 +0900] "GET /css/egovframework/com/com.css HTTP/1.1" 200 32527
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:25 +0900] "GET /js/egovframework/com/cmm/jquery.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:25 +0900] "GET /images/egovframework/com/cmm/main/top_logo.png HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:25 +0900] "GET /EgovLeft.do HTTP/1.1" 200 38371
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:26 +0900] "GET /EgovContent.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:26 +0900] "GET /uat/uia/egovLoginUsr.do HTTP/1.1" 200 9675
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:26 +0900] "GET /js/egovframework/com/cmm/showModalDialog.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:26 +0900] "GET /css/egovframework/com/uat/uia/login.css HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:26 +0900] "GET /images/egovframework/com/uat/uia/login_tit.png HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [18/May/2022:15:17:26 +0900] "GET /EgovTop.do HTTP/1.1" 200 4646
